Name	Kingdom	Phylum	Class	Order	Family	Genus	Species	MP_Frozen_DNA_D0_1	MP_Frozen_DNA_D0_2	MP_Frozen_DNA_D0_3	MP_Frozen_DNA_D14_1	MP_Frozen_DNA_D14_2	MP_Frozen_DNA_D14_3	MP_Frozen_DNA_D21_1	MP_Frozen_DNA_D21_2	MP_Frozen_DNA_D21_3	MP_Frozen_DNA_D03_1	MP_Frozen_DNA_D03_2	MP_Frozen_DNA_D03_3	MP_Frozen_DNA_D40_1	MP_Frozen_DNA_D40_2	MP_Frozen_DNA_D40_3	MP_Frozen_DNA_D07_1	MP_Frozen_DNA_D07_2	MP_Frozen_DNA_D07_3	MP_Frozen_RNA_D0_1	MP_Frozen_RNA_D0_2	MP_Frozen_RNA_D0_3	MP_Frozen_RNA_D14_1	MP_Frozen_RNA_D14_2	MP_Frozen_RNA_D14_3	MP_Frozen_RNA_D21_1	MP_Frozen_RNA_D21_2	MP_Frozen_RNA_D21_3	MP_Frozen_RNA_D03_1	MP_Frozen_RNA_D03_2	MP_Frozen_RNA_D03_3	MP_Frozen_RNA_D07_1	MP_Frozen_RNA_D07_2	MP_Frozen_RNA_D07_3	MP_Mawi_DNA_D0_1	MP_Mawi_DNA_D0_2	MP_Mawi_DNA_D0_3	MP_Mawi_DNA_D14_1	MP_Mawi_DNA_D14_2	MP_Mawi_DNA_D14_3	MP_Mawi_DNA_D21_1	MP_Mawi_DNA_D21_2	MP_Mawi_DNA_D21_3	MP_Mawi_DNA_D03_1	MP_Mawi_DNA_D03_2	MP_Mawi_DNA_D03_3	MP_Mawi_DNA_D40_1	MP_Mawi_DNA_D40_2	MP_Mawi_DNA_D40_3	MP_Mawi_DNA_D07_1	MP_Mawi_DNA_D07_2	MP_Mawi_DNA_D07_3	MP_Mawi_RNA_D0_1	MP_Mawi_RNA_D0_2	MP_Mawi_RNA_D0_3	MP_Mawi_RNA_D14_1	MP_Mawi_RNA_D14_2	MP_Mawi_RNA_D14_3	MP_Mawi_RNA_D21_1	MP_Mawi_RNA_D21_2	MP_Mawi_RNA_D21_3	MP_Mawi_RNA_D03_1	MP_Mawi_RNA_D03_2	MP_Mawi_RNA_D03_3	MP_Mawi_RNA_D07_1	MP_Mawi_RNA_D07_2	MP_Mawi_RNA_D07_3	Taxonomy Id	Taxonomy Lineage
[Clostridium] symbiosum	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] symbiosum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.1	0.0	0.0	0.0	0.0	0.0	68.18	112.56	82.0	77.51	87.63	0.0	122.18	193.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.87	80.45	0.0	0.0	0.0	88.76	104.98	0.0	0.0	0.0	0.0	86.78	0.0	71.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1512	k__Bacteria(2);p__Firmicutes(1239);c__Clostridia(186801);o__Clostridiales(186802);f__Lachnospiraceae(186803);g__Lachnoclostridium(1506553);s__[Clostridium] symbiosum(1512);
Collinsella aerofaciens	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens	9854.88	10178.56	7260.89	7182.18	15250.06	6961.16	6135.53	6957.31	9211.46	12125.89	12018.57	11107.51	9036.68	7131.12	12221.36	11003.67	10713.59	12497.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17578.2	8534.94	8158.92	6482.17	6172.1	6169.99	6428.98	6123.47	5700.76	6209.51	9699.24	8704.86	6373.98	5966.46	5000.21	6961.89	6931.03	9494.63	0.0	3588.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74426	k__Bacteria(2);p__Actinobacteria(201174);c__Coriobacteriia(84998);o__Coriobacteriales(84999);f__Coriobacteriaceae(84107);g__Collinsella(102106);s__Collinsella aerofaciens(74426);
Collinsella intestinalis	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella intestinalis	21.79	23.12	15.13	15.35	37.54	15.5	11.32	15.17	21.2	27.57	27.61	24.76	20.33	15.7	31.55	23.05	25.66	29.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.44	18.7	17.64	14.94	16.39	13.81	16.63	13.82	13.25	14.7	22.29	19.52	14.94	12.99	11.38	15.81	16.03	22.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147207	k__Bacteria(2);p__Actinobacteria(201174);c__Coriobacteriia(84998);o__Coriobacteriales(84999);f__Coriobacteriaceae(84107);g__Collinsella(102106);s__Collinsella intestinalis(147207);
Collinsella sp. 4_8_47FAA	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp. 4_8_47FAA	10300.33	10614.37	7655.64	7530.5	15983.0	7278.46	6427.81	7367.93	9616.54	12565.03	12414.34	11504.15	9502.53	7453.89	12684.25	11419.02	11012.17	12890.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18033.63	8855.9	8437.96	6822.04	6453.05	6527.45	6729.13	6366.04	6026.99	6515.16	9980.68	9030.09	6675.26	6249.39	5199.19	7249.69	7160.23	9900.18	0.0	5117.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	742722	k__Bacteria(2);p__Actinobacteria(201174);c__Coriobacteriia(84998);o__Coriobacteriales(84999);f__Coriobacteriaceae(84107);g__Collinsella(102106);s__Collinsella sp. 4_8_47FAA(742722);
Collinsella sp. MS5	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella sp. MS5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	564.15	870.58	962.17	729.05	0.0	0.0	0.0	0.0	0.0	642.27	1058.31	786.51	878.15	572.26	655.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	844.06	0.0	1467.89	428.28	153.59	0.0	0.0	0.0	0.0	0.0	621.1	0.0	239.86	0.0	0.0	1499681	k__Bacteria(2);p__Actinobacteria(201174);c__Coriobacteriia(84998);o__Coriobacteriales(84999);f__Coriobacteriaceae(84107);g__Collinsella(102106);s__Collinsella sp. MS5(1499681);
Collinsella stercoris	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella stercoris	32.88	33.09	20.02	21.33	52.1	21.65	17.48	22.03	30.14	43.07	43.1	38.05	27.99	22.75	41.59	35.12	38.81	43.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.32	26.92	28.09	22.12	21.27	18.79	21.69	20.94	19.98	20.83	30.81	27.35	20.04	19.85	16.1	21.53	23.13	34.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	147206	k__Bacteria(2);p__Actinobacteria(201174);c__Coriobacteriia(84998);o__Coriobacteriales(84999);f__Coriobacteriaceae(84107);g__Collinsella(102106);s__Collinsella stercoris(147206);
Collinsella tanakaei	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella tanakaei	16.17	18.7	11.7	11.52	28.44	11.18	9.62	10.84	16.36	20.85	20.31	19.11	14.78	10.89	21.04	18.44	17.54	22.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.43	14.28	12.13	12.55	11.16	10.15	12.14	11.3	11.73	10.17	15.52	15.62	10.23	9.1	8.35	12.7	11.4	18.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	626935	k__Bacteria(2);p__Actinobacteria(201174);c__Coriobacteriia(84998);o__Coriobacteriales(84999);f__Coriobacteriaceae(84107);g__Collinsella(102106);s__Collinsella tanakaei(626935);
Commensalibacter_u_s	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Commensalibacter	Commensalibacter_u_s	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.06	0.0	0.0	0.0	0.0	2.48	0.0	0.0	0.0	0.0	2.15	0.0	0.0	0.0	3.98	0.0	0.0	0.0	1.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.9	0.0	24.69	21.17	0.0	6.84	3.94	0.0	0.0	20.07	0.0	10.14	2.47	0.0	0.0	1079922	k__Bacteria(2);p__Proteobacteria(1224);c__Alphaproteobacteria(28211);o__Rhodospirillales(204441);f__Acetobacteraceae(433);g__Commensalibacter(1079922);s__Commensalibacter_u_s(1079922);
Coprobacillus sp. 3_3_56FAA	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Coprobacillus sp. 3_3_56FAA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	665941	k__Bacteria(2);p__Firmicutes(1239);c__Erysipelotrichia(526524);o__Erysipelotrichales(526525);f__Erysipelotrichaceae(128827);g__Coprobacillus(100883);s__Coprobacillus sp. 3_3_56FAA(665941);
Coprobacillus_u_s	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	Coprobacillus_u_s	0.0	0.0	0.0	0.0	30.86	34.66	0.0	22.39	11.58	0.0	0.0	0.0	10.59	0.0	11.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.53	22.21	29.95	42.12	12.01	52.92	0.0	0.0	0.0	11.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100883	k__Bacteria(2);p__Firmicutes(1239);c__Erysipelotrichia(526524);o__Erysipelotrichales(526525);f__Erysipelotrichaceae(128827);g__Coprobacillus(100883);s__Coprobacillus_u_s(100883);
